pair,date,direction,abs_z,z_velocity,spread_vol,half_life,spread_slope,corr_recent,beta,coint_pvalue,market_vol,ret_a_5d,ret_b_5d,mom_a_252,mom_b_252,mom_rel,corr_baseline,corr_change,comembership,coint_recent_pvalue,vol_ratio,sector_dispersion,detach_max,adf_stat,hurst,vix_level,vix_change,vol_spike_max,n_pairs_extreme,z_rank,reverted,reverted_5,reverted_20,reverted_safe
AMZN/INTU,2020-01-03,1,2.0856023668897747,0.23171342907069437,0.022729580345010398,17.42644160517655,0.003649763775580836,0.2770085868316001,0.482,0.0426,0.0041290476363465434,0.003312172831002158,-0.009374552259615143,0.22294087085169334,0.3460642866078345,-0.12312341575614116,0.5116518343190286,-0.23464324748742849,0.40476190476190477,0.3720320882369871,0.7897576412685189,0.06447874411865251,0.24289614718997332,-2.8173936575974223,0.44727432257376326,6.55465991838721,0.044403516886675654,1.0654835686863784,4,0.9433962264150944,1,0,1,1
USB/JPM,2020-01-03,-1,2.7326223925548327,-0.4778398470908387,0.0146047120759374,17.984103320815567,-0.004053058533251818,0.7523482149276366,0.736,0.0184,0.0041290476363465434,-0.020587306450018605,0.0013520529026873618,0.27660350368275965,0.3829254232385155,-0.10632191955575587,0.8134130962924356,-0.06106488136479904,0.9126984126984127,0.27099188079542536,0.7990483755331076,0.029362500242645844,0.18462723756093302,-1.0509996061831328,0.34657031583451897,6.55465991838721,0.044403516886675654,0.9602337728451881,4,0.9811320754716981,0,0,0,0
MET/USB,2020-01-03,1,2.0740627770903606,0.5397695042650168,0.020517639724029587,21.49120986288473,0.004911010650347561,0.6136782252585951,0.785,0.0375,0.0041290476363465434,-0.0029318727128417876,-0.020587306450018605,0.2603689937960607,0.27660350368275965,-0.016234509886698945,0.7500008688882036,-0.13632264362960855,0.7777777777777778,0.41240008719364785,1.206634042424278,0.029362500242645844,0.17921127562706562,-3.778420424743157,0.33122276449555554,6.55465991838721,0.044403516886675654,1.0515434402443393,4,0.9245283018867925,0,0,0,0
AMZN/SNPS,2020-01-03,1,2.2901023094382356,0.04406495140832023,0.018607701223167624,19.552274484382163,0.001841397589018718,0.5223735280707259,0.336,0.0227,0.0041290476363465434,0.003312172831002158,0.011993098166366067,0.22294087085169334,0.5583291824997847,-0.33538831164809135,0.5791381064259923,-0.05676457835526638,0.753968253968254,0.252328024946079,0.741776439484813,0.06447874411865251,0.22989217934410455,-3.0773114316275167,0.46876010876584134,6.55465991838721,0.044403516886675654,1.0654835686863784,4,0.9622641509433962,1,0,1,1
CRM/ISRG,2020-01-07,1,2.355346679140194,2.317035748318005,0.03317932814768565,11.96978841550717,0.022746146408318544,0.11560523627012854,1.021,0.0265,0.0040630535167799275,0.08017517450746237,-0.014513310848168537,0.2131087857616185,0.19731326898424495,0.015795516777373564,0.42663061965182625,-0.3110253833816977,0.3888888888888889,0.12963921427821223,0.941327358202375,0.04797829177851665,0.27178497346590647,-2.3650753164976654,0.37996450574277046,6.449897501367653,-0.6288160874738811,0.9442876992752137,5,0.9056603773584906,0,0,0,0
TJX/ROST,2020-01-09,-1,2.641485757795552,-2.141057397655592,0.01080762787233529,24.39172119141334,-0.00546054875307341,0.6123336203253689,1.017,0.0456,0.0036974055038045415,0.015120057290579858,0.04436619178191403,0.29809077438331943,0.31153906622040317,-0.013448291837083737,0.7600571107929365,-0.1477234904675676,0.9365079365079365,0.2859413660118104,0.9489118441871303,0.08038022250163011,0.4437161220947927,-2.2407088865265035,0.3583559565758858,5.869449275536979,-1.2754529471252747,0.9020546540234311,5,0.9433962264150944,1,1,1,1
MS/URI,2020-01-09,1,2.4623230254834674,2.2601522044663565,0.011219160961524914,12.745176318782905,0.00618506712318453,0.682437568562207,0.53,0.0063,0.0036974055038045415,0.00038413027707573377,-0.032665628657722934,0.24957666953316737,0.3205001346750178,-0.07092346514185044,0.6430164764688636,0.039421092093343435,0.8492063492063492,0.16452852619799796,0.6016286861441047,0.03275933312977602,0.0698311859483085,-2.3613429999413276,0.42132612661221946,5.869449275536979,-1.2754529471252747,0.8494802868826681,5,0.9056603773584906,0,0,0,0
CAT/MS,2020-01-10,-1,2.072804091560757,-1.2838583808675206,0.014268048578388206,10.091611890572505,-0.007330817034208107,0.6804924607924666,0.727,0.0005,0.003824750650017813,-0.01568399308689017,0.01953435870904885,0.12239859203198566,0.254372448186051,-0.13197385615406532,0.5967239842327934,0.08376847655967323,0.8412698412698413,0.33310553856530006,1.2391491009822853,0.03226442196734336,0.0641304710614885,-1.993192851627073,0.4407369791164064,6.071603428067865,-1.070097002021427,0.8463941129891652,6,0.8867924528301887,0,0,0,0
USB/JPM,2020-01-10,-1,2.6050511112222345,0.1812698135169577,0.021319152960263734,30.832885849912287,-0.002334090748824242,0.75327320443771,0.736,0.0184,0.003824750650017813,-0.031953037411529994,-0.016544609821650624,0.2100270057465008,0.3331626213863963,-0.1231356156398955,0.810659072666563,-0.057385868228853054,0.9126984126984127,0.5069450049331308,0.8726231205099055,0.034420205843944666,0.2179485022321428,0.04033983350611983,0.44478417084922334,6.071603428067865,-1.070097002021427,1.1244657847551474,6,0.9433962264150944,0,0,0,0
MET/USB,2020-01-10,1,2.9871645104827054,0.255862236984179,0.029352336648897588,30.38614625498412,0.010955785340022523,0.5377796942923441,0.785,0.0375,0.003824750650017813,0.026652904638364117,-0.031953037411529994,0.22764978165699556,0.2100270057465008,0.01762277591049477,0.7349872045489236,-0.19720751025657957,0.7777777777777778,0.786343039522916,1.1067219568435476,0.034420205843944666,0.20895842713573698,-0.9938615264739685,0.3541736407298391,6.071603428067865,-1.070097002021427,1.146645697833492,6,0.9622641509433962,0,0,0,0
